date;day;average;median;deviation;soften;returns
20210807;1072;0.415;0.415;0.091923882;0.415;0
20210808;1073;0.437840835;0.4;0.345588205;0.4;-0.036144578
20210809;1074;1.840529383;1.49;1.621085109;0.768333333;0.920833333
20210810;1075;1.413946572;1;2.167664753;0.722777778;-0.059291396
20210811;1076;1.064519956;0.77;1.230842091;0.753703704;0.042787599
20210812;1077;0.953268206;0.7;0.875517716;0.725493827;-0.037428337
20210813;1078;0.861063076;0.69;0.541464127;0.723065844;-0.003346663
20210814;1079;0.756807002;0.65;0.429573316;0.69951989;-0.032564051
20210815;1080;0.823422758;0.65;0.66971936;0.690861911;-0.01237703
20210816;1081;0.68336017;0.53495;0.613624371;0.641777267;-0.071048415
20210817;1082;0.566308609;0.48;0.32235545;0.604213059;-0.058531534
20210818;1083;0.631886749;0.49;0.512835664;0.578663442;-0.042285775
20210819;1084;0.507070273;0.42;0.267613395;0.534292167;-0.076678898
20210820;1085;0.546208519;0.415;0.471344342;0.509318536;-0.046741525
20210821;1086;0.620665642;0.455;0.744401384;0.499536901;-0.019205339
20210822;1087;0.645158953;0.49;0.564107459;0.499618479;0.000163307
20210823;1088;0.888721237;0.5;1.354291086;0.49971846;0.000200115
20210824;1089;0.682041216;0.55;0.537411482;0.516445646;0.033473221
20210825;1090;0.813129824;0.66;0.50098222;0.558721369;0.081858997
20210826;1091;0.806335461;0.69;0.503386791;0.588389005;0.053099162
20210827;1092;0.742834971;0.65;0.294912725;0.599036791;0.018096508
20210828;1093;0.819372757;0.75;0.370464737;0.645808599;0.078078355
20210829;1094;0.989104981;0.8;0.760974389;0.68161513;0.055444494
20210830;1095;1.057193176;0.859;0.954234416;0.72880791;0.069236696
20210831;1096;0.925606306;0.8;0.402351497;0.73680768;0.010976514
20210901;1097;1.43184304;0.9305;1.645606223;0.798705197;0.084007697
20210902;1098;1.013508333;0.89;0.675529741;0.808504292;0.012268727
20210903;1099;0.923255263;0.84;0.284918981;0.815736496;0.008945165
20210904;1100;0.858251318;0.72;0.525815978;0.781413596;-0.042075965
20210905;1101;0.739055178;0.6889;0.245570756;0.762016697;-0.024822832
20210906;1102;0.78644417;0.687;0.42473469;0.743476765;-0.024330087
